 Index  ---date--- --time--            pH         unit           mV         unit         Cond         unit          TDS         unit         Salt         unit          TpH         unit         Tcon         unit
     1  08-22-2022 15:26:07           E03          Nul      -1520.3           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
     2  08-22-2022 15:26:09           E03          Nul      -1520.1           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.9           C 
     3  08-22-2022 15:26:11           E03          Nul      -1520.1           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.9           C 
     4  08-22-2022 15:26:13           E03          Nul      -1520.1           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.9           C 
     5  08-22-2022 15:26:15           E03          Nul      -1520.2           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
     6  08-22-2022 15:26:17           E03          Nul      -1519.4           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
     7  08-22-2022 15:26:19           E03          Nul      -1519.0           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
     8  08-22-2022 15:26:21           E03          Nul      -1519.5           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
     9  08-22-2022 15:26:23           E03          Nul      -1520.1           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    10  08-22-2022 15:26:25           E03          Nul      -1520.3           mV         1.74           uS         0.87          ppm         0.87          ppm         25.0            C         22.8           C 
    11  08-22-2022 15:26:27           E03          Nul      -1520.3           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    12  08-22-2022 15:26:29           E03          Nul      -1520.4           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    13  08-22-2022 15:26:31           E03          Nul      -1520.5           mV         1.74           uS         0.87          ppm         0.87          ppm         25.0            C         22.8           C 
    14  08-22-2022 15:26:33           E03          Nul      -1520.9           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    15  08-22-2022 15:26:35           E03          Nul      -1520.7           mV         1.74           uS         0.87          ppm         0.87          ppm         25.0            C         22.8           C 
    16  08-22-2022 15:26:37           E03          Nul      -1520.6           mV         1.74           uS         0.87          ppm         0.87          ppm         25.0            C         22.8           C 
    17  08-22-2022 15:26:39           E03          Nul      -1520.5           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    18  08-22-2022 15:26:41           E03          Nul      -1520.3           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    19  08-22-2022 15:26:43           E03          Nul      -1520.3           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    20  08-22-2022 15:26:45           E03          Nul      -1520.0           mV         1.78           uS         0.89          ppm         0.89          ppm         25.0            C         22.9           C 
    21  08-22-2022 15:26:47           E03          Nul      -1520.1           mV         1.77           uS         0.89          ppm         0.89          ppm         25.0            C         22.9           C 
    22  08-22-2022 15:26:49           E03          Nul      -1520.0           mV         1.77           uS         0.89          ppm         0.89          ppm         25.0            C         22.9           C 
    23  08-22-2022 15:26:51           E03          Nul      -1520.2           mV         1.77           uS         0.89          ppm         0.89          ppm         25.0            C         22.9           C 
    24  08-22-2022 15:26:53           E03          Nul      -1520.4           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    25  08-22-2022 15:26:55           E03          Nul      -1520.7           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    26  08-22-2022 15:26:57           E03          Nul      -1520.7           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    27  08-22-2022 15:26:59           E03          Nul      -1520.6           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    28  08-22-2022 15:27:01           E03          Nul      -1520.6           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    29  08-22-2022 15:27:03           E03          Nul      -1520.6           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    30  08-22-2022 15:27:05           E03          Nul      -1520.6           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.8           C 
    31  08-22-2022 15:27:07           E03          Nul      -1520.3           mV         1.75           uS         0.88          ppm         0.88          ppm         25.0            C         22.9           C 
    32  08-22-2022 15:27:09           E03          Nul      -1520.5           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.9           C 
    33  08-22-2022 15:27:11           E03          Nul      -1520.6           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.9           C 
    34  08-22-2022 15:27:13           E03          Nul      -1520.7           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.9           C 
    35  08-22-2022 15:27:15           E03          Nul      -1520.6           mV         1.76           uS         0.88          ppm         0.88          ppm         25.0            C         22.9           C 
    36  08-22-2022 15:27:17           E03          Nul      -1520.7           mV         1.77           uS         0.89          ppm         0.89          ppm         25.0            C         22.9           C 
    37  08-22-2022 15:27:19           E03          Nul      -1520.7           mV         1.77           uS         0.89          ppm         0.89          ppm         25.0            C         22.9           C 
    38  08-22-2022 15:27:21           E03          Nul      -1520.8           mV         1.77           uS         0.89          ppm         0.89          ppm         25.0            C         22.9           C 
